post,topic,audience
People with neglected diseases deserve better outcomes. See how AbbVie has banded with other partners to advance research that could impact millions.,company announcement // conferences & outreach,all
"At AbbVie, we are working to find solutions to treat neglected tropical diseases like river blindness. Learn about our progress to impact global health.",company announcement // conferences & outreach,all
Patients can’t wait – that’s why we go beyond the standard to bring them the medicines of tomorrow.,company announcement // motivation & support,all
Better medicines are possible. That's why we won't give up.,company announcement // motivation & support,all
What if there’s another way? That’s how AbbVie scientists approach the biggest challenges in medicine to better help patients.,company announcement // conferences & outreach,all
Discovering new medicines means challenging the status quo for patients – and that’s what scientists at AbbVie do every day.,company announcement // motivation & support,all
Every medicine has a story. See how ours started with a “eureka” moment and ended with a new possibility for blood cancer patients.,company announcement // general disease info / awareness,all
How did we go from an idea to blood cancer treatment? Hear one medicine’s origin story.,company announcement // motivation & support,all
Aging is a diagnosis we’ll all receive. See why scientists are focused on the biology of aging and what it could mean for diseases like cancer.,company announcement // general disease info / awareness,all
Scientists’ new discoveries launched a renaissance in blood cancer treatment. See what it means for patients.,company announcement // motivation & support,all
Scientists’ new discoveries launched a renaissance in blood cancer treatment. See what it means for patients.,company announcement // motivation & support,all
Why challenge the longtime standard in blood cancer treatment? Because patients need it. Hear from our scientists on 20 years of pioneering research.,company announcement // motivation & support,all
Can we use DNA to discover medicines faster? Meet the scientists using genomic research to help find the answer.,company announcement // motivation & support,all
"With the first fully mapped human genome, see how our scientists are working to discover and develop new and innovative medicines faster.",company announcement // research & publication,all
"At AbbVie, our work is personal. For Maurizio, his connection to Parkinson’s fuels him to find the next research breakthrough.",company announcement // conferences & outreach,all
"Every day, Maurizio is relentless in his pursuit of finding effective treatments for Parkinson's.",partnership // general disease info / awareness,all
People with neglected diseases deserve better outcomes. See how AbbVie has banded with other partners to advance research that could impact millions.,company announcement // conferences & outreach,all
"At AbbVie, we are working to find solutions to treat neglected tropical diseases like river blindness. Learn about our progress to impact global health.",company announcement // conferences & outreach,all
"RT @IAPB1 Let’s work together to ensure that 2030 is in sight for all! #LoveYourEyes and pass it on, so others are inspired and able to love theirs. #WorldSightDay ?? https://t.co/PDtNZ7FjQI #2030InSight #PassItOn https://t.co/oBee9YGrOI",company announcement // other,all
"Celebrate #HBCUWeek with us by learning how #HBCUs continue to shape generations of leaders, including many of our own employees. Watch this video from our Black Business Network Employee Resource Group: https://t.co/Z3Ttuf7MWY #BelongAtAbbVie https://t.co/8XevynfYeW",company announcement // new hire / employee update,all
"Geoffrey, Tomáš, Sara, Sinead and Ruth. Five people who believe cancer can be conquered. Sometimes, we are connected in more ways than we realise. Innovation is closer than you think.",company announcement // motivation & support,all
"Blood cancer is a common form of cancer in adults. Geoffrey knows what it’s like to have the disease and, with the help of new treatments, to be able to fight it. Now, he’s in remission and back sailing again.",partnership // motivation & support,all
"@GaryFlo29335543 Hi Gary, we're excited about your interest in AbbVie. You can find our current job openings at https://t.co/UI5539nJ0L. You may also want to sign up for our talent community when you check out the site or follow AbbVie Careers on Facebook",company announcement // new hire / employee update,all
Who are our #WorkingParents of the Year? See how these two moms approach #parenting with passion: https://t.co/J3GZVnDsK9 https://t.co/YvU23UrltI,company announcement // other,all
#Alzheimers can present new realities and daily challenges for patients. We’re committed to helping address their needs living with this difficult-to-treat neurological disorder. #WorldAlzheimersDay https://t.co/kIFu7LgKmf,company announcement // motivation & support,all
Exciting news: We’ve been recognized as one of the @Seramount 100 Best Companies for the 9th year. Learn more: https://t.co/mGpnmmvBG2 #BelongAtAbbvie #Seramount100Best https://t.co/71E6zR2Bah,company announcement // new hire / employee update,all
"While no two patient journeys are the same, there can be much to learn from others who are living with chronic lymphocytic leukemia (#CLL). Hear Liz describe her experience living with a #BloodCancer diagnosis. https://t.co/bsiRA6aK0d",company announcement // general disease info / awareness,all
.@EMA_News’ #CHMP announced a positive opinion on our #CrohnsDisease investigational treatment. Read more: https://t.co/MdnvGnEtys https://t.co/dQ5dbZFD7G,partnership // research & publication,all
"With millions worldwide impacted by #MovementDisorders, we’re working to transform care for patients. Explore our efforts: https://t.co/FFFOkXpnD8 #MDSCongress https://t.co/X7KtLYR8h3",partnership // general disease info / awareness,all
"As we recognize #WorldLymphomaAwarenessDay, learn more about the symptoms associated with lymphoma. #WLAD2022",company announcement // general disease info / awareness,all
"How are our leaders in Latin America making a remarkable impact? This #HispanicHeritageMonth, explore what unites them – from a culture of collaboration to #diverse teams. #BelongAtAbbVie https://t.co/etw2mtvUEu",partnership // other,all
"On #WorldLymphomaAwarenessDay, learn more about the most common type of #BloodCancer. Explore our commitment to research: https://t.co/ctn0vnrVOt #WLAD2022 https://t.co/5s0wZMMLhH",company announcement // general disease info / awareness,all
"JUST IN: At this year’s #MDSCongress, we’re presenting our latest #neuroscience data on #Parkinsons, spasticity and cervical dystonia. Learn more: https://t.co/CsYcpJYDCP https://t.co/7gO4yj48b5",company announcement // conferences & outreach,all
"With @IADPO, we're going #InsideAtopicEczema to help uncover the multidimensional burdens of this disease.",company announcement // research & publication,all
"Geoffrey, Tomáš, Sara, Sinead and Ruth. Five people who believe cancer can be conquered. Sometimes, we are connected in more ways than we realise. Innovation is closer than you think.",company announcement // motivation & support,all
"Chronic lymphocytic leukaemia is a common form of cancer in adults. Geoffrey knows what it’s like to have the disease and, with the help of new treatments, to be able to fight it. Now, he’s in remission and back sailing again.",company announcement // general disease info / awareness,all
Meet the #scientists who discovered a medicine for #HCV. Watch the journey: https://t.co/HVv9ob1ywo https://t.co/L8JHZ5whMl,company announcement // conferences & outreach,all
"Around the globe, we support our employees in all aspects of their lives. That's why we've been named one of the #BestWorkplaces in Europe according to @GPTW_US. Learn more: https://t.co/moWaUgP2j6 #AbbVieLife #GPTWCertified https://t.co/ZhbSa6Z4oa",company announcement // new hire / employee update,all
"@La_FuckYouBitch Hi Jose, that’s a good question. You can view all our available positions, filtered by location, by visiting us at https://t.co/UI5539nJ0L. You can also sign up for our talent community to stay in touch.",company announcement // new hire / employee update,all
"Through innovative science and partnerships with the #migraine community, we’re advancing our mission to help those impacted by neurological diseases. Read more: https://t.co/Suo4SrF4pT #MAW2022 https://t.co/DoMai5ypVO",partnership // research & publication,all
#MultipleMyeloma is a rare blood cancer representing approximately 1% of all #cancer diagnoses worldwide. Learn more facts about this disease: https://t.co/Kp81F9yjR3 #BloodCancerAwarenessMonth https://t.co/tQ2pxmAXcI,company announcement // general disease info / Awareness,all
Then vs. now. One oncologist reflects on the transformation in #BloodCancer #treatment over 20 years in the making: https://t.co/RACCD3WONa #BCAM #BloodCancerAwarenessMonth https://t.co/jW3r2RLwnw,partnershiphip / organizational update // general disease info / awareness,HCP / Clinical / R&D
"Ahead of #WorldAtopicEczemaDay on September 14, see how we work to help #dermatology patients feel free in their own skin. https://t.co/wWq9dD91up https://t.co/Sybp0l4NOq",partnershiphip / organizational update // general disease info / awareness,all
Diffuse large B-cell lymphoma (#DLBCL) is a fast-growing type of #NonHodgkinsLymphoma that affects the lymphatic system. Explore our research to advance care options for DLBCL and other blood cancers: https://t.co/o4QUw8Xy8r #BloodCancerAwarenessMonth https://t.co/rhi4pCouPd,company announcement // general disease info / Awareness,HCP / Clinical / R&D
"To highlight our commitment to #neuroscience research, we’re presenting 13 abstracts across our #migraine portfolio at the @MigraineTrust International Symposium 2022. Learn more about our commitment to the migraine community: https://t.co/BYIBwDup63 https://t.co/NDOkaZOszi",company announcement // conferences & outreach,all
"At #EADV2022, we’re presenting new data in #PsoriaticArthritis. Learn more: https://t.co/Eb2lPcGK7U https://t.co/7GrsJO4U42",company announcement // research & publication,all
"#AtopicEczema can impact patients in multidimensional ways, affecting everyday life. Go #InsideAtopicEczema and hear powerful patient perspectives in this documentary, which we’re proud to have financially supported, from @IADPO.",company announcement // financial results,investors
AbbVie’s dedication to exploring the future of medicine gives patients hope for a better tomorrow.,company announcement // motivation & support,all
Attending #EADV2022? Join our final session to hear from experts on the potential long-term effects of #psoriasis and strategies to help address this problem: https://t.co/2ZjLRATKgp https://t.co/Jb2QaLaUx6,company announcement // conferences & outreach,all
Curious about developments in the management of #AtopicDermatitis? Find out from our panel of experts during #EADV2022: https://t.co/WURBFLRiWI https://t.co/HC5GHogtbv,partnership // research & publication,all
"@prolucia Hi Lucia, we saw your tweet and want to connect. Can you please follow us so we can DM you with more information?",company announcement // other,all
Join us for our upcoming #EADV2022 session to learn about the impact that achieving high hurdle clinical goals can have on those living with #AtopicDermatitis. Register: https://t.co/Y0Z4HakF1o https://t.co/THhwaUGM4i,company announcement // conferences & outreach,all
"JUST IN: We’re sharing new data from our robust #migraine portfolio at @MigraineTrust International Symposium 2022, including data from a Phase 3 trial in patients with #ChronicMigraine. More: https://t.co/8PBpWXtJ9V https://t.co/pwj07ssiIl",company announcement // research & publications,all
"With leading science and innovation, we’re working to transform the standards of care for rare blood cancers like myeloproliferative neoplasm (#MPN). Learn more about our focus areas: https://t.co/jvbGjNowGF #BuildHopeMPN #MPNAwarenessDay https://t.co/jsT37BHS5G",partnership // research & publication,all
Learn about #Psoriasis and #PsoriaticArthritis at #EADV2022. Register for our scientific session: https://t.co/CObL2aovA8 https://t.co/I0611Z5p8V,company announcement // research & publication,all
"At #EADV2022, our new research offers a real-world view of the multidimensional burdens of #AtopicDermatitis. Explore: https://t.co/HUq8w8ZsEj https://t.co/j1dkts0gDA",partnership // research & publication,all
"@ParkinsonsEU Congratulations @ParkinsonsEU on your new name, and happy 30th anniversary to your organization, which has done so much championing for people with this disease.",company announcement // motivation & support,all
Happy #GlobalTADay to our hardworking and dedicated talent acquisition team. Thanks for all you do to help bring in the best talent to our organization. #AbbVieLife https://t.co/vRMMPxLVpG,company announcement // new hire / employee update,all
"@PedsMamaDoc @drrachelrubin @KTamirisaMD @PatientsRiseNow @mass_marion @DavidBalatHC @PanCAN @Docbasia @DianaLondonoMD @TakeMedBack @PPA_USA Hi, we saw your tweet and want to connect. Can you please follow us so we can DM you with more information?",company announcement // motivation and support,all
"For Michael, our VP, neuroscience development, transforming the standards of care for those with #migraine isn’t just part of the job – it’s personal. Read more: https://t.co/CqqqJOqHBw #MAW2022 https://t.co/EsX2xDN3TH",company announcement // motivation & support,all
#Migraine impacts more than one billion people worldwide. Explore our commitment to advancing science across the spectrum of migraine. https://t.co/QyuTfwQ2EQ #MAW2022 https://t.co/Uz3xsgpbsT,company announcement // general disease info / awareness,all
"In the latest episode of LinkedIn News' #GetHired Live, our head of HR, Tim Richmond, discusses the importance of #resiliency and physiological safety in the workplace. Tune in now: https://t.co/SiKNGKbR9Q",company announcement // new hire / employee update,all
#SpinalCordInjury can lead to chronic pain or loss of sensory function. We’re working to raise the standards of care for those impacted by #SCI. #SpinalCordInjuryDay https://t.co/NmfF5ozPbd,company announcement // general disease info / awareness,all
"More than 437,000 people are diagnosed with #leukemia globally each year. Help raise awareness of this disease and explore our commitment to research on #WorldLeukemiaDay: https://t.co/seXmeo4nDA #BloodCancerAwarenessMonth https://t.co/3zE5mpCyW3",company announcement // general disease info / awareness,all
Many people may experience problems with #DiabeticMacularEdema (DME) treatments. We’re proud to share our perspectives on the management of DME at #EURETINA. https://t.co/WySb0BCmHu,company announcement // motivation & support,all
"Many people with chronic lymphocytic leukemia (#CLL) have no symptoms at first, but may start to see signs as the cancer progresses. Get to know the potential symptoms. https://t.co/SBJ99jWPKd",company announcement // general disease info / awareness,all
"#PsoriaticArthritis can cause joint and tissue damage in some patients, making early intervention key to avoid damage. Learn about our commitment to science in #dermatology: https://t.co/4Dlt5avOkt https://t.co/lVQyfrs3HF",company announcement // research & publication,all
#BloodCancer patients like Ben have witnessed a #treatment renaissance. See what it’s meant for him: https://t.co/X9jM2FO030 #BCAM #BloodCancerAwarenessMonth https://t.co/6ZS3K2LdX4,company announcement // motivation & support,all
"This #WorldCLLDay, join us and our global partners in raising awareness and education about chronic lymphocytic leukemia (#CLL). Learn more from @CLLAdvocates: https://t.co/7vhpsTfwRH #WCLLD22 https://t.co/YCNozbysm5",company announcement // motivation & support,all
"Over time, the effects of #psoriasis can take a toll on well-being. Explore the potential of these long-term impacts: https://t.co/tazptvOcZO https://t.co/KOQt3ZFXaG",company announcement // motivation & support,all
Calling all U.S.-based #LifeScience entrepreneurs: The deadline for our Golden Ticket program with @bakarlabs_uc is September 23. Apply today for the chance to win a year of free lab and office space: https://t.co/E9d1x5CGLt,company announcement // conferences & events,all
"September is #BloodCancerAwarenessMonth. Follow along as we share important resources and information about different #BloodCancers, such as CLL, myelofibrosis and AML. https://t.co/x6PB7ZKwbA",company announcement // general disease info / awareness,all
"Did you know the impact of #psoriasis can go beyond the skin? Uncover the potential everyday effects, from #MentalHealth to quality of life, via @PsoriasisIFPA's report: https://t.co/OhzOntN0zP https://t.co/S6ly4FXQ2I",company announcement // general disease info / awareness,all
70+ years of innovation in #EyeCare and we’re not done yet. See how our #scientists are driving new approaches to help address the major causes of #VisionLoss and impairment: https://t.co/Iq4N7CJZfv #EURETINA2022 https://t.co/DrmSzrcXIT,company announcement // general disease info / awareness,all
"For people living with #AtopicDermatitis, the itch-scratch cycle can be persistent. Learn more about our commitment to dermatology: https://t.co/FEuoEw9eU8 https://t.co/YnR1ad48hF",company announcement // motivation & support,all
JUST IN: New research from our #dermatology portfolio to be presented at #EADV2022. Follow along: https://t.co/7qHqoTcLis https://t.co/xqIgoIYTQ3,company announcement // clinical trial,all
"@exaltedidiot Hello, we saw your tweet and would like to connect. Can you DM us with more information?",company announcement // other,all
AbbVie’s dedication to exploring the future of medicine gives patients hope for a better tomorrow.,company announcement // motivation & support,all
"Our work at AbbVie is driven by hope for: patients, the next big breakthrough, better medicines and a healthier future.",company announcement // conferences & outreach,all
"With every scientific breakthrough, we’re one step closer to finding innovative medicines & solutions that can improve lives. Join us.",company announcement // other,all
Breakthroughs can change lives. That's why our team works to discover better medicines & solutions for the future. Join us.,partnership // general disease info / awareness,all
The future of medicine depends on innovation. We’ve invested more than $50 billion to fuel the next research breakthrough.,company announcement // research & publication,all
"At AbbVie, we work to create innovative medicines today to find better solutions for tomorrow.",company announcement // conferences & outreach,all
"At AbbVie, we work tirelessly with a common goal in mind: to discover new medicines that can improve patients’ lives.",company announcement // motivation & support,all
"At AbbVie, we work every day towards the same goal: discovering new medicines that can transform lives.",company announcement // conferences & outreach,all
"Every day, our teams work towards the next breakthrough in medicine that can help change patients’ lives. Join us.",company announcement // motivation & support,all
"From research breakthroughs to innovative solutions, we’re investing in better medicines for patients today and in the future.",company announcement // research & publication,all
Investing in a healthier tomorrow starts by investing in patients today. See how we’re working to transform the future of medicine.,company announcement // motivation & support,all
"Every patient is different, and so is their treatment journey. That’s why we work to meet the needs of as many as we can.",company announcement // motivation & support,all
"With patients at the center of everything we do, we’re striving to develop new medicines today for a healthier tomorrow.",company announcement // research & publication,all
"With more than $50 billion invested in discovering new medicines, we’re continuing to raise the bar for patients.",company announcement // motivation & support,all
How can we help patients? It starts by listening to their needs and discovering how we can improve outcomes through our medicines.,company announcement // motivation & support,HCP / Clinical / R&D
"With every scientific breakthrough, we're working to connect patients to medicines now and in the future.",company announcement // research & publication,all
"@bagelslut Hello, we saw your tweet and would like to connect. Can you DM us with more information?",company announcement // other,all
"@cheleycat Hi @cheleycat , we saw your tweet and want to connect. Can you please follow us so we can DM you with more information?",partnership // other,all
"Meet Pedro Valencia, our VP, corporate strategy group. Read how this #strategy expert and award-winning #scientist passionately advocates for healthcare innovation, via @HispanicExecMag: https://t.co/92KHfwb5P0 #BelongAtAbbVie https://t.co/0ad0N7i9w6",company announcement // other,all
@ivfshan Hi @ivfshan. MyAbbVie Assist offers a variety of programs to meet the needs of specific people who are prescribed our medications. Check out this link for more information: https://t.co/9f0CelRAl8.,company announcement // patents,all
"@Go4Valentine Hi Sean, thanks for tagging us. Can you DM us with more information so we can help and direct your questions to the right team?",company announcement // new hire / employee update,all
"From petri dish to patients, see how a molecule became a medicine for #HepatitisC: https://t.co/XgqXw7r0WQ https://t.co/v6GBVoiGrn",company announcement // motivation & support,all
We're proud to partner with @UChicagoMed's Urban Health Initiative on the LinC program to empower Chicago's South Side community to advance #HealthEquity.,company announcement // conferences & events,all
"At AbbVie, we're driven to create innovative medicines that can change lives for the better.",company announcement // conferences & outreach,all
Innovation starts with a commitment to the patient. Get to know AbbVie.,company announcement // motivation & support,all
"With patients at the heart of everything we do, we’ll never stop pursuing new treatment options for a healthier tomorrow.",company announcement // motivation & support,all
How can we create a healthier tomorrow? By investing in science and research to discover new medicines today.,company announcement // other,all
Every patient deserves treatment options. That's why our teams work tirelessly towards developing new medicines.,company announcement // motivation & support,all
"At AbbVie, we work tirelessly with a common goal in mind: to discover new medicines that can improve patients’ lives.",company announcement // motivation & support,all
"@KissesKelland Hi @ KissesKelland, we saw your tweet and would like to connect. Can you DM us with more information so we can better help?",company announcement // other,all
"@DisneyDee19 Hi @DisneyDee19 , we saw your tweet and would like to connect. Can you DM us with more information?",company announcement // other,all
"This year's @FortuneMagazine Global #Fortune500 list is out, and we're proud to be up 20 spots from last year ? a reflection of the momentum of our business.",company announcement // financial results,all
Goals among physicians and #UlcerativeColitis patients are evolving. Hear more from #gastroenterologist and researcher @SeverineVermei1. https://t.co/mFGtYa2mZq,company announcement // motivation & support,HCP / Clinical / R&D
"@Kay23807927 @DrLaurenWilson Hi, we suggest speaking to one of our insurance specialists. Insurance specialists are available at 1.800.448.6472, Monday through Friday from 8 AM to 8 PM ET. You can reach an insurance specialist by selecting Option 3 and th",company announcement // financial results,HCP / Clinical / R&D
"Roopal Thakkar, our VP of regulatory affairs and R&D quality assurance, is always looking for the next best solution available to #patients. Find out how his mother inspired his #career: https://t.co/fZjmpHfhTE https://t.co/yWk61njNci",company announcement // general disease info / awareness,HCP / Clinical / R&D
"#WorldHepatitisDay may be behind us, but the work to meet the @WHO’s 2030 #HCV elimination goal remains top of mind. Hear from HCV expert and former @Hep_Alliance president on why urgency is key. https://t.co/YzcBFpv1Lk",partnership // general disease info / awareness,all
"Yesterday was #WorldHepatitisDay, and we’re proud to have partnered with the @Hep_Alliance on this year’s campaign.",partnership // general disease info / awareness,all
#ICYMI: This morning we released our Q2 2022 financial results. The momentum of our business and advances across our pipeline continue to support our promising long-term outlook. Learn more about our performance: https://t.co/0usph1HwNv $ABBV #earnings https://t.co/Q9hziO08MR,company announcement // financial results,investors
Join us LIVE: our Q2 2022 #earnings call is starting: https://t.co/lFrdlvJFzL $ABBV https://t.co/GRvlSLmkZq,company announcement // financial results,investors
"Our Q2 2022 financial results are in, including adjusted diluted EPS of $3.37, an increase of 11.2%. Learn more: https://t.co/p7FlxOyvz5: $ABBV #earnings https://t.co/xiQXwylUl9",company announcement // financial results,investors
JUST IN: The European Commission approved treatment for adults living with non-radiographic axial spondyloarthritis (#nraxSpA). More: https://t.co/RDOqQPf4xQ #rheumatology https://t.co/hj5duM842e,company announcement // patent,all
Reminder: Join us tomorrow morning at 8am CT as we share our Q2 2022 financial results. https://t.co/CwSDSDhd2c $ABBV #earnings https://t.co/rYrg8MxABS,company announcement // financial results,investors
Wishing a happy #NationalInternDay to all of our 2022 interns as we round out a summer of collaboration and learning. Thanks for your hard work and dedication. #AbbVieLife https://t.co/EXycZLuUos,partnership // general disease info / awareness,all
"@CassisBrown Hi there, we saw your tweets and would like to connect. Can you DM us with more information?",company announcement // new hire / employee update,all
"On #WorldHepatitisDay, wind back the clock to the moment a #HepatitisC #medicine was discovered: https://t.co/DNqGUVONgk https://t.co/lh7EXZzJcR",company announcement // motivation & support,all
Today is #WorldHepatitisDay. Explore efforts by our partner @Hep_Alliance to harness the power of community to help accelerate #HCV elimination #by2030: https://t.co/8bNieBwlPi https://t.co/ISgTLMlwKC,company announcement // motivation & support,all
"Programs like AbbVie in Motion are one of the ways we help our employees get active, build healthy habits, connect as a team and have fun. Check out the highlights from this year. #AbbVieLife #WellnessWednesday https://t.co/4FEEoFG0CV",company announcement // other,all
JUST IN: We’ve submitted regulatory applications to the @US_FDA and @EMA_News for an investigational treatment in #CrohnsDisease. Learn more: https://t.co/jAegQyuQBH https://t.co/rQtzfixs9H,company announcement // patent,all
JUST IN: The @EMA_News granted approval of our latest treatment for adults with moderate to severe #UlcerativeColitis. Read more: https://t.co/Wpfx1OxsFQ https://t.co/eeEYqvXkud,company announcement // patents,all
"Join our #investor call this Friday, July 29 at 8am CT, where we’ll share our Q2 2022 financial results. https://t.co/CBulKaQIJa $ABBV #earnings https://t.co/RKkOGru4T9",company announcement // financial results,investors
"#WorldHepatitisDay is around the corner. As we reflect on the progress made toward eliminating #HCV by 2030, we know there’s more work to be done. Join us and @Hep_Alliance in our pledge to support the end of HCV: https://t.co/v6PYT2xY9Z https://t.co/V6tdhNJVCE",company announcement // motivation & support,all
"Last month, our Week of Possibilities united 15,000 employees in 50+ countries around the world with a single purpose: to give back to local communities through #volunteering. We’re grateful to all employees and nonprofit partners for this impactful global event. #AbbVieGivesBack https://t.co/LuUy6n06R4",company announcement // other,all
"As a child, Roopal Thakkar watched his mother struggle with an undiagnosed illness. Read how this experience led him to medical school and shaped his passion for #patients: https://t.co/aKP40YzonN https://t.co/AcXdorRkwD",company announcement // general disease info / awareness,HCP / Clinical / R&D
"Once again, we’re proud to be recognized by @DisabilityIN and @AAPD as a Best Place to Work for Disability Inclusion. More: https://t.co/lDfHZCuta5 #DEI22 #BelongAtAbbVie https://t.co/RHWH8FzucY",company announcement // other,all
NEWS: We’ve partnered with @iSTARMed for the opportunity to expand our diverse #EyeCare portfolio and provide additional treatment options for #glaucoma. Learn more: https://t.co/NvSgfNUNgq https://t.co/UElqy1fo9T,partnership // research & publication,all
"Today, we announced the @EMA_News submission of our marketing authorization application for the preventive treatment of #migraine. Learn more: https://t.co/DYE9GLBfUs https://t.co/jjqnEqYlRQ",company announcement // patents,all
"What’s there to love about our new #BayArea facility? Find out by following a day in the life of Eyoel Tsegay, whose goal is to help #cancer patients access innovative treatments. https://t.co/P8tplSwfrN https://t.co/73AZd3iB2e",company announcement // conferences & outreach,all
"@justwritewhatev Hi , @justwritewhatev thanks for the tweet. Please follow us so we can DM you with more information.",company announcement // other,all
Our scientists are working to uncover new solutions for #migraine care. Help improve their research this #MigraineAwareness month by joining the community: https://t.co/ym8c9Cyv3A https://t.co/AyIhloM2iV,company announcement // research & publications,all
"@Frog521987 @FTC Hi Frog521987, thanks for tagging us. Can you DM us with more information so we can help?",partnership // other,all
#ChronicMigraine can be a debilitating disease that disrupts many aspects of a person’s life. Learn about our commitment to improving care for those with migraine: https://t.co/p3vZpOugDo #MHAM2022 https://t.co/Qa2dVIdk0y,partnership // research & publication,all
July 6 is around the corner for the AbbVie Innovation Midwest award deadline. Midwest-based #biotechs ready to take their #research to the next level should apply today for the chance to receive seed funding and more: https://t.co/6Cn9d13XmX https://t.co/JCnVYuLmUl,company announcement // conferences & outreach,all
Want to make a difference this #MigraineAwareness month? Join us in our research to help better understand migraine. Learn more: https://t.co/mZrYGYLaFv https://t.co/ZTJ0l0AsRT,company announcement // general disease info / awareness,all
"@Marshmall0wpeep Hi @Marshmall0wpeep, we saw your tweet and would like to connect. Can you DM us with more information?",company announcement // other,all
JUST IN: @EMA_News #CHMP announced a positive opinion on our non-radiographic axial spondyloarthritis (#nraxSpA) investigational treatment. More: https://t.co/Ozg3kQJEqv #rheumatology https://t.co/c3Ehk9a97n,company announcement // research and publications,all
Every day we work relentlessly to pursue scientific research that impacts those living with #migraine and #MovementDisorders. Learn from one of our leaders about how research helps advance our mission: https://t.co/CgyJru5awr #EAN2022 https://t.co/a0EXLOzoMB,company announcement // conferences & outreach,all
"During this year’s @EANeurology Congress, we’re sharing our latest #neuroscience research on #migraine, spasticity and Parkinson’s disease. Read more about our focus areas: https://t.co/iINckvCmqM #EAN2022 https://t.co/a4Vz8Yb0O5",partnership // research & publication,all
It takes all of us to uncover the next breakthrough. That’s why teams at AbbVie work together towards the future of medicine.,company announcement // conferences & outreach,all
"Great ideas are born from collaboration. See how AbbVie comes together for innovative medicine, today and into the future.",company announcement // conferences & outreach,all
"Through constant innovation, AbbVie is dedicated to discovering better medicines for a healthier tomorrow.",company announcement // conferences & outreach,all
AbbVie is helping patients around the world today while working to discover the innovative treatments for tomorrow.,partnership // research & publication,all
"Through relentless dedication, AbbVie scientists are turning possibilities into realities with innovative new medicines.",company announcement // conferences & outreach,all
What will the future of medicine look like? See how AbbVie is helping lead the way.,company announcement // motivation & support,all
The future of medicine depends on discovery and dedication. That’s why we’ve invested over $50 billion in R&D.,company announcement // conferences & outreach,all
Investment in R&D is an investment in a healthier tomorrow. AbbVie is committed to discovering the medicines of the future.,company announcement // conferences & outreach,all
"Every day, in pursuit of innovative cancer treatments, AbbVie scientists ask, “What if there’s a better way?”",company announcement // motivation & support,all
The future of medicine takes new ways of thinking. See how AbbVie scientists are breaking barriers in cancer research.,company announcement // conferences & outreach,all
Did you know: migraine affects billions of people worldwide. See how AbbVie is working toward a world of improving migraine care.,company announcement // general disease info / awareness,all
Migraine is more than a headache. Hear the stories of people living with migraine and how we’re committed to finding new options.,company announcement // general disease info / awareness,all
Everyone should have the opportunity to be part of the future of medicine. See how AbbVie champions inclusion in science.,partnership // general disease info / awareness,all
We work to empower people of all backgrounds in science. Hear from AbbVie leaders on how we can all uplift women in the field.,company announcement // other,all
Better medicines and a healthier tomorrow are possible – we have the drive to get there. Hear from the frontier of innovation.,partnership // general disease info / awareness,all
Building a healthier tomorrow takes tenacity. See how AbbVie scientists never back down from discovering innovative medicines.,partnership // general disease info / awareness,all
"Week of Possibilities, our week-long global service event, will return next week for its seventh year. Meet a few of the employees who have gone above and beyond each year to our local communities. https://t.co/1bt0mAKJAM #AbbVieGivesBack https://t.co/k6cIQEt96k",company announcement // new hire / employee update,all
"Meet Amy, one of our #engineers. On #InternationalWomenInEngineeringDay, we celebrate employees like Amy for helping inspire the next generation and making a global impact. Explore our #engineering opportunities: https://t.co/6cUCI37HLG #AbbVieLife https://t.co/Vm6Df39P9s",company announcement // other,all
"Every day, in pursuit of innovative cancer treatments, AbbVie scientists ask, “What if there’s a better way?”",company announcement // motivation & support,all
The future of medicine takes new ways of thinking. See how AbbVie scientists are breaking barriers in cancer research.,company announcement // conferences & outreach,all
Did you know: migraine affects billions of people worldwide. See how AbbVie is working toward a world of improving migraine care.,company announcement // general disease info / awareness,all
Migraine is more than a headache. Hear the stories of people living with migraine and how we’re committed to finding new options.,company announcement // general disease info / awareness,all
Everyone should have the opportunity to be part of the future of medicine. See how AbbVie champions inclusion in science.,partnership // general disease info / awareness,all
We work to empower people of all backgrounds in science. Hear from AbbVie leaders on how we can all uplift women in the field.,company announcement // other,all
Better medicines and a healthier tomorrow are possible – we have the drive to get there. Hear from the frontier of innovation.,partnership // general disease info / awareness,all
Building a healthier tomorrow takes tenacity. See how AbbVie scientists never back down from discovering innovative medicines.,partnership // general disease info / awareness,all
It takes all of us to uncover the next breakthrough. That’s why teams at AbbVie work together towards the future of medicine.,company announcement // conferences & outreach,all
"Great ideas are born from collaboration. See how AbbVie comes together for innovative medicine, today and into the future.",company announcement // conferences & outreach,all
"Through constant innovation, AbbVie is dedicated to discovering better medicines for a healthier tomorrow.",company announcement // conferences & outreach,all
AbbVie is helping patients around the world today while working to discover the innovative treatments for tomorrow.,partnership // research & publication,all
"Through relentless dedication, AbbVie scientists are turning possibilities into realities with innovative new medicines.",company announcement // conferences & outreach,all
What will the future of medicine look like? See how AbbVie is helping lead the way.,company announcement // motivation & support,all
The future of medicine depends on discovery and dedication. That’s why we’ve invested over $50 billion in R&D.,company announcement // conferences & outreach,all
Investment in R&D is an investment in a healthier tomorrow. AbbVie is committed to discovering the medicines of the future.,company announcement // conferences & outreach,all
"With the best minds in science, we’re taking on the toughest health challenges to deliver medicines of tomorrow.",company announcement // motivation & support,all
